,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.935672514619883,0.9491525423728814,0.875,0.9105691056910569
KNN,0.9649122807017544,1.0,0.90625,0.9508196721311475
Random Forest,0.9649122807017544,1.0,0.90625,0.9508196721311475
SVM,0.9649122807017544,1.0,0.90625,0.9508196721311475
Logistic Regression,0.9707602339181286,0.9836065573770492,0.9375,0.96
